 run  |                     source                     | capacitor 
 1160 | YAl                                            | No
 1161 | YAl                                            | No
 1162 | YAl                                            | No
 1163 | YAl                                            | No
 1166 | YAl                                            | No
 1167 | YAl                                            | No
 1168 | YAl                                            | No
 1169 | YAl                                            | No
 1170 | YAl                                            | No
 1171 | YAl                                            | No
 1173 | YAl                                            | No
 1174 | YAl                                            | No
 1175 | YAl                                            | No
 1176 | YAl                                            | No
 1178 | YAl                                            | No
 1180 | YAl                                            | No
 1181 | YAl                                            | No
 1182 | YAl                                            | No
 1183 | YAl                                            | No
 1184 | YAl                                            | No
 1188 | YAl                                            | No
 1189 | YAl                                            | No
 1190 | YAl                                            | No
 1191 | YAl                                            | No
 1194 | YAl                                            | No
 1196 | YAl                                            | No
 1198 | YAl                                            | No
 1199 | YAl                                            | No
 1200 | YAl                                            | No
 1201 | YAl                                            | No
 1202 | YAl                                            | No
 1203 | YAl                                            | No
 1205 | YAl                                            | No
 1206 | YAl                                            | Yes
 1207 | YAl                                            | Yes
 1208 | YAl                                            | Yes
 1209 | YAl                                            | Yes
 1210 | YAl                                            | Yes
 1212 | YAl                                            | Yes
 1213 | YAl                                            | Yes
 1214 | YAl                                            | Yes
 1215 | YAl                                            | Yes
 1216 | YAl                                            | Yes
 1218 | YAl                                            | Yes
 1219 | YAl                                            | Yes
 1220 | YAl                                            | Yes
 1221 | YAl                                            | Yes
 1222 | YAl                                            | Yes
 1225 | YAl                                            | Yes
 1226 | YAl                                            | Yes
 1227 | YAl                                            | Yes
 1228 | YAl                                            | Yes
 1229 | YAl                                            | Yes
 1231 | YAl + strong Co57 + 2 Pb sheets                | No
 1232 | YAl                                            | No
 1233 | YAl                                            | no
 1234 | YBe                                            | no
 1235 | YBe                                            | No
 1237 | YBe                                            | No
 1238 | YBe                                            | No
 1239 | YBe                                            | No
 1240 | YBe                                            | No
  888 | YBe                                            | Yes
  939 | YAl                                            | Yes
 1243 | YBe                                            | No
 1244 | YBe                                            | No
 1245 | YBe                                            | No
 1247 | YBe                                            | No
 1248 | YBe                                            | No
 1249 | YBe                                            | No
 1250 | YBe                                            | No
 1251 | YBe                                            | No
 1252 | YBe                                            | No
 6072 | weak co57                                      | Yes
 6151 | kr83m                                          | Yes
 1255 | YBe                                            | Yes
 1256 | YBe                                            | Yes
 1258 | YBe                                            | Yes
 1259 | YBe                                            | Yes
 1260 | YBe                                            | Yes
 1263 | YBe                                            | Yes
 1264 | YBe                                            | Yes
 1265 | YBe                                            | Yes
 1266 | YBe                                            | Yes
 1267 | YBe                                            | Yes
 1269 | YBe                                            | Yes
 1270 | YBe                                            | Yes
 1271 | YBe                                            | Yes
 1272 | YBe                                            | Yes
 1273 | YBe                                            | Yes
 1274 | YBe                                            | Yes
 1276 | YBe                                            | Yes
 1277 | YBe                                            | Yes
 1278 | YBe + strong Co57 + 2 Pb sheets                | Yes
 1279 | YBe + strong Co57 + 2 Pb sheets                | No
 1281 | YBe + strong Co57 + 2 Pb sheets                | No
 1282 | YBe                                            | No
 6192 | yal                                            | Yes
 6209 | yal                                            | Yes
 6227 | background                                     | Yes
 1781 | Kr                                             | Yes
 6019 | background                                     | Yes
 6073 | weak co57                                      | Yes
 6272 | background                                     | Yes
 6314 | yal + weak co57                                | Yes
 6437 | yal + weak co57                                | Yes
 6152 | kr83m                                          | Yes
 6295 | kr83m                                          | Yes
 6305 | kr83m                                          | Yes
 6174 | yal                                            | Yes
 6193 | yal                                            | Yes
 6210 | yal                                            | Yes
 6228 | background                                     | Yes
 6243 | background                                     | Yes
 6258 | background                                     | Yes
 6284 | kr83m                                          | Yes
